0,195696
1,191621
2,210099
3,863945
4,579927
5,2362386
6,685683
7,2563914
8,1013558
9,762842
10,2609886
11,1067286
12,807226
13,2637355
14,1098107
15,2574911
16,1071500
17,2821749
18,1211166
19,2762508
20,1077887
21,2874268
22,1223777
23,2759597
24,1179482
25,973305
26,2744341
27,1195924
28,2749522
29,1182856
0,195696
1,191621
2,210099
3,847336
4,215237
5,1760353
6,217259
7,1895454
8,625438
9,488708
10,1876699
11,754631
12,564046
13,2029166
14,817947
15,2306334
16,669620
17,2814511
18,898712
19,2599199
20,714850
21,2869654
22,922548
23,2701297
24,1093263
25,944397
26,2810326
27,1103391
28,2765454
29,1094599
0,195696
1,191621
2,210099
3,658146
4,207903
5,1130906
6,215947
7,1217275
8,617907
9,217375
10,1238486
11,727212
12,217359
13,1240836
14,757556
15,1547068
16,562222
17,1666287
18,851837
19,2010705
20,622837
21,2036702
22,893145
23,2173603
24,949530
25,676698
26,2070551
27,879917
28,2207894
29,931991
0,195696
1,191621
2,210099
3,658146
4,207903
5,1130906
6,215998
7,1113590
8,613541
9,219630
10,1178951
11,735769
12,217898
13,1245868
14,759223
15,1546145
16,217991
17,1236491
18,769248
19,2146172
20,218444
21,1269730
22,776132
23,2196906
24,696772
25,525217
26,1538549
27,766448
28,1800508
29,763332
